"#","Name","Type 1","Type 2","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary"
"710","PumpkabooAverage Size","Ghost","Grass","49","66","70","44","55","51","6","False"
"710","PumpkabooSmall Size","Ghost","Grass","44","66","70","44","55","56","6","False"
"710","PumpkabooLarge Size","Ghost","Grass","54","66","70","44","55","46","6","False"
"710","PumpkabooSuper Size","Ghost","Grass","59","66","70","44","55","41","6","False"
"711","GourgeistAverage Size","Ghost","Grass","65","90","122","58","75","","6","False"
"711","GourgeistSmall Size","Ghost","Grass","55","85","122","58","75","99","6","False"
"711","GourgeistLarge Size","Ghost","Grass","75","95","122","58","75","69","6","False"
"711","GourgeistSuper Size","Ghost","Grass","85","100","122","58","75","54","6","False"
"714","Noibat","Flying","Dragon","40","30","35","45","40","55","6","False"
"715","Noivern","Flying","Dragon","85","70","80","97","80","123","6","False"
"717","Yveltal","Dark","Flying","126","131","95","131","98","99","6","True"
"718","Zygarde50% Forme","Dragon","Ground","108","100","121","81","95","","6","True"
"719","Diancie","Rock","Fairy","50","100","150","100","150","50","6","True"
"719","DiancieMega Diancie","Rock","Fairy","50","160","110","160","110","110","6","True"
"720","HoopaHoopa Confined","Psychic","Ghost","80","110","60","150","130","70","6","True"
"720","HoopaHoopa Unbound","Psychic","Dark","80","160","60","170","130","80","6","True"
"721","Volcanion","Fire","Water","80","110","120","130","90","70","6","True"
